index,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
0,394,500,0,4120.0146,148.9749,0.0000,255.0000,86.1850,126923,1.0000
1,450,313,0,2440.4067,128.1510,0.0000,255.0000,88.2413,49023,1.0000
2,500,465,0,4965.8892,169.1551,0.0000,255.0000,61.1430,165505,1.0000
3,500,351,0,2838.8103,195.6704,0.0000,255.0000,58.5411,132937,1.0000
4,600,363,0,1131.4061,191.8624,0.0000,255.0000,55.0702,34907,1.0000
5,500,375,0,4524.0947,111.8758,0.0000,255.0000,80.7140,141823,1.0000
6,1536,1024,0,1633.6440,192.8405,13.0000,255.0000,50.8875,197092,0.9030
7,500,448,0,3399.8567,154.9420,0.0000,255.0000,68.1502,150955,1.0000
8,500,404,0,3003.8049,118.6586,0.0000,255.0000,76.5850,120641,1.0000
9,282,450,0,545.4622,145.4956,0.0000,255.0000,60.8384,13601,1.0000
10,375,500,0,808.7275,77.9321,0.0000,249.0000,63.3649,96294,1.0000
11,400,319,0,837.6797,142.2369,25.0000,224.0000,41.5981,27734,0.7992
12,500,402,0,1821.4713,146.0223,0.0000,255.0000,50.9509,132097,1.0000
13,490,500,0,2421.9314,125.8646,0.0000,255.0000,87.5829,144288,1.0000
14,640,425,0,820.5563,57.1472,0.0000,203.0000,26.0564,65412,1.0000
15,640,423,0,305.9553,26.5806,0.0000,245.0000,26.4737,41409,1.0000
16,500,367,0,1898.0819,122.2586,0.0000,255.0000,85.0135,95606,1.0000
17,333,500,0,1144.6383,111.8140,1.0000,255.0000,58.3230,89316,0.9922
18,500,401,0,550.3019,132.7583,0.0000,248.0000,46.5417,81807,1.0000
19,333,500,0,487.0217,87.1491,0.0000,255.0000,32.1976,60616,1.0000
20,300,297,0,1057.7656,133.4279,0.0000,255.0000,65.0900,18603,1.0000
21,192,288,0,628.9006,182.6205,0.0000,254.0000,35.7076,8299,1.0000
22,267,400,0,973.2635,135.4018,0.0000,255.0000,76.5924,16184,1.0000
23,242,233,0,511.2314,95.6772,0.0000,252.0000,72.2147,13031,1.0000
24,300,278,0,422.7860,179.9604,0.0000,248.0000,48.4085,15072,1.0000
25,500,333,0,1759.7256,106.3085,0.0000,255.0000,57.1851,85213,1.0000
26,333,500,0,624.7897,141.9337,0.0000,203.0000,35.9558,75472,1.0000
27,500,359,0,3453.6321,128.8425,0.0000,255.0000,66.2065,117165,1.0000
28,500,423,0,3842.1943,126.1746,0.0000,230.0000,51.3427,141293,1.0000
29,266,400,0,748.2899,234.9680,0.0000,255.0000,33.4442,27121,1.0000
30,500,375,0,7959.8447,170.1382,0.0000,255.0000,50.8348,127555,1.0000
31,333,500,0,573.8225,141.9480,0.0000,230.0000,30.4284,54896,1.0000
32,335,500,0,933.7113,121.9760,0.0000,255.0000,79.7943,65814,1.0000
33,333,500,0,550.4448,129.7389,1.0000,207.0000,26.0451,63941,0.9904
34,311,320,0,1454.8804,159.8350,0.0000,255.0000,56.2188,26349,1.0000
35,500,333,0,669.4020,131.4938,0.0000,255.0000,33.3941,49368,1.0000
36,700,496,0,1378.3300,99.2890,1.0000,255.0000,42.3049,71385,0.9922
37,500,440,0,1366.6288,143.8280,0.0000,244.0000,27.6109,101141,1.0000
38,333,500,0,576.0465,118.0984,0.0000,217.0000,35.3671,64080,1.0000
39,333,500,0,1257.8647,154.8247,0.0000,249.0000,46.3143,76380,1.0000
40,1600,1200,0,1875.0667,123.3317,0.0000,255.0000,48.4144,184225,1.0000
41,500,333,0,1061.5286,178.6042,0.0000,255.0000,47.3347,91975,1.0000
42,500,333,0,2088.8315,159.7107,0.0000,255.0000,71.6776,97077,1.0000
43,245,280,0,2161.9658,150.9692,0.0000,255.0000,52.2869,16016,1.0000
44,500,333,0,2110.3140,105.7327,0.0000,237.0000,40.9586,81024,1.0000
45,461,500,0,1101.1887,137.7934,0.0000,255.0000,36.0124,111270,1.0000
46,500,433,0,2396.3489,135.7435,0.0000,255.0000,43.0492,143491,1.0000
47,500,461,0,726.2542,129.9093,0.0000,255.0000,46.8023,94194,1.0000
48,500,359,0,1004.6930,129.4896,0.0000,217.0000,48.8750,89341,1.0000
49,800,577,0,4038.1587,200.0087,0.0000,255.0000,42.9750,129683,1.0000
50,333,500,0,450.0588,90.6629,0.0000,204.0000,39.1489,66123,1.0000
51,500,375,0,3361.0649,122.3524,0.0000,255.0000,61.1895,132424,1.0000
52,500,375,0,1641.8247,111.2087,0.0000,255.0000,58.7370,114643,1.0000
53,335,500,0,1414.8326,59.9658,0.0000,220.0000,49.9473,85682,1.0000
54,500,363,0,1912.4391,131.6024,0.0000,255.0000,68.5774,81744,1.0000
55,350,233,0,5666.7236,103.5441,0.0000,255.0000,54.1750,100223,1.0000
56,424,500,0,10088.6045,151.6156,0.0000,255.0000,83.3322,180931,1.0000
57,500,263,0,7708.4312,123.3632,0.0000,255.0000,59.7769,99500,1.0000
58,500,426,0,6961.9902,133.8770,0.0000,255.0000,77.6585,141926,1.0000
59,581,371,0,479.1664,158.5810,0.0000,226.0000,43.5607,33251,1.0000
