component_id,mean,sum,count,min,max
7201,1.925818,2.000000,0.962909,0.962909,0.962909
7199,1.921630,2.000000,0.960815,0.960815,0.960815
6414,1.999813,2.000000,0.999907,0.999907,0.999907
6103,1.985447,2.000000,0.992724,0.992724,0.992724
5592,1.926233,2.000000,0.963117,0.963117,0.963117
5266,1.920165,2.000000,0.960083,0.960083,0.960083
5188,1.937395,2.000000,0.968697,0.968697,0.968697
2288,2.000000,2.000000,1.000000,1.000000,1.000000
2277,2.000000,2.000000,1.000000,1.000000,1.000000
2255,1.975093,2.000000,0.987546,0.987546,0.987546
2208,1.998295,2.000000,0.999147,0.999147,0.999147
2203,1.999999,2.000000,1.000000,1.000000,1.000000
2179,2.000000,2.000000,1.000000,1.000000,1.000000
1851,1.976261,2.000000,0.988130,0.988130,0.988130
1824,1.998261,2.000000,0.999131,0.999131,0.999131
1587,2.000000,2.000000,1.000000,1.000000,1.000000
1553,1.992886,2.000000,0.996443,0.996443,0.996443
1512,1.987685,2.000000,0.993843,0.993843,0.993843
1489,2.000000,2.000000,1.000000,1.000000,1.000000
1488,2.000000,2.000000,1.000000,1.000000,1.000000
1487,2.000000,2.000000,1.000000,1.000000,1.000000
1485,2.000000,2.000000,1.000000,1.000000,1.000000
1484,1.999999,2.000000,0.999999,0.999999,0.999999
1483,2.000000,2.000000,1.000000,1.000000,1.000000
1478,1.999999,2.000000,0.999999,0.999999,0.999999
1459,1.925979,2.000000,0.962990,0.962990,0.962990
1458,2.000000,2.000000,1.000000,1.000000,1.000000
1442,1.969833,2.000000,0.984916,0.984916,0.984916
1433,1.996344,2.000000,0.998172,0.998172,0.998172
1429,2.000000,2.000000,1.000000,1.000000,1.000000
1423,1.999999,2.000000,1.000000,1.000000,1.000000
1419,2.000000,2.000000,1.000000,1.000000,1.000000
1416,1.999999,2.000000,0.999999,0.999999,0.999999
1412,1.951877,2.000000,0.975938,0.975938,0.975938
1411,1.958169,2.000000,0.979085,0.979085,0.979085
1406,2.000000,2.000000,1.000000,1.000000,1.000000
1404,3.907469,4.000000,0.976867,0.965826,0.987909
1399,2.000000,2.000000,1.000000,1.000000,1.000000
1397,6.000000,6.000000,1.000000,1.000000,1.000000
1305,1.989927,2.000000,0.994964,0.994964,0.994964
21,1.936191,2.000000,0.968096,0.968096,0.968096
161,1.955108,2.000000,0.977554,0.977554,0.977554
2419,2.000000,2.000000,1.000000,1.000000,1.000000
2420,2.000000,2.000000,1.000000,1.000000,1.000000
2422,2.000000,2.000000,1.000000,1.000000,1.000000
2443,2.000000,2.000000,1.000000,1.000000,1.000000
2814,1.999970,2.000000,0.999985,0.999985,0.999985
2845,1.999951,2.000000,0.999976,0.999976,0.999976
2847,1.999902,2.000000,0.999951,0.999951,0.999951
2959,1.920819,2.000000,0.960409,0.960409,0.960409
3036,1.999881,2.000000,0.999940,0.999940,0.999940
3394,1.999970,2.000000,0.999985,0.999985,0.999985
3398,1.999964,2.000000,0.999982,0.999982,0.999982
3417,1.999933,2.000000,0.999967,0.999967,0.999967
3437,1.999894,2.000000,0.999947,0.999947,0.999947
3449,1.999938,2.000000,0.999969,0.999969,0.999969
3450,1.999946,2.000000,0.999973,0.999973,0.999973
3457,1.999787,2.000000,0.999893,0.999893,0.999893
3548,1.999970,2.000000,0.999985,0.999985,0.999985
3550,1.999977,2.000000,0.999989,0.999989,0.999989
3551,1.999587,2.000000,0.999793,0.999793,0.999793
3591,1.999409,2.000000,0.999705,0.999705,0.999705
3592,1.999971,2.000000,0.999985,0.999985,0.999985
3604,1.999967,2.000000,0.999984,0.999984,0.999984
3626,1.999976,2.000000,0.999988,0.999988,0.999988
3691,2.000000,2.000000,1.000000,1.000000,1.000000
3834,1.999931,2.000000,0.999966,0.999966,0.999966
3836,1.999323,2.000000,0.999661,0.999661,0.999661
4377,2.000000,2.000000,1.000000,1.000000,1.000000
4378,2.000000,2.000000,1.000000,1.000000,1.000000
4379,2.000000,2.000000,1.000000,1.000000,1.000000
4388,2.000000,2.000000,1.000000,1.000000,1.000000
4390,1.999880,2.000000,0.999940,0.999940,0.999940
