from,to,distance
1409,1506,1.000000
1466,1490,1.000000
1402,1503,1.000000
2483,2486,1.000000
4441,4459,1.000000
4440,4458,1.000000
1423,1510,1.000000
1500,1583,1.000000
1433,1514,1.000000
2322,2369,1.000000
1497,1565,1.000000
1502,1598,1.000000
1400,1421,1.000000
4442,4460,1.000000
2457,2469,1.000000
1421,1494,1.000000
1400,1494,1.000000
1494,1421,1.000000
2310,2340,1.000000
3749,3754,1.000000
2210,2284,1.000000
2459,2470,1.000000
1495,1518,1.000000
2456,2468,1.000000
4451,4457,1.000000
1501,1591,1.000000
1615,1780,1.000000
1427,1516,1.000000
2234,2305,1.000000
1419,1508,0.999999
1496,1528,0.999999
1487,1492,0.999999
3673,3603,0.999989
3603,3673,0.999989
3682,3719,0.999988
3719,3682,0.999988
3741,3645,0.999985
3645,3741,0.999985
2855,2933,0.999985
2933,2855,0.999985
3440,3583,0.999985
3668,3601,0.999985
3583,3440,0.999985
3601,3668,0.999985
3657,3798,0.999984
3798,3657,0.999984
3586,3444,0.999982
3444,3586,0.999982
2909,2886,0.999976
2886,2909,0.999976
3575,3496,0.999973
3496,3575,0.999973
3495,3511,0.999969
3511,3495,0.999969
3463,3579,0.999967
3579,3463,0.999967
3895,3910,0.999966
3910,3895,0.999966
2912,2888,0.999951
2888,2912,0.999951
3483,3512,0.999947
3512,3483,0.999947
3187,3080,0.999940
3080,3187,0.999940
4453,4522,0.999940
4522,4453,0.999940
6493,6486,0.999907
6486,6493,0.999907
3503,3576,0.999893
3576,3503,0.999893
3677,3604,0.999793
3604,3677,0.999793
3796,3644,0.999705
3644,3796,0.999705
3922,3897,0.999661
3897,3922,0.999661
2239,2316,0.999147
2316,2239,0.999147
1853,1927,0.999131
1927,1853,0.999131
1438,1451,0.998172
1451,1438,0.998172
1576,1596,0.996443
1596,1576,0.996443
1317,1307,0.994964
1307,1317,0.994964
1533,1552,0.993843
1552,1533,0.993843
6192,6174,0.992724
6174,6192,0.992724
1920,1880,0.988130
1880,1920,0.988130
1434,1498,0.987909
1498,1434,0.987909
2367,2287,0.987546
2287,2367,0.987546
1448,1580,0.984916
1580,1448,0.984916
1414,1458,0.979085
1458,1414,0.979085
180,162,0.977554
162,180,0.977554
1441,1415,0.975938
1415,1441,0.975938
5256,5257,0.968697
5257,5256,0.968697
80,21,0.968096
21,80,0.968096
1407,1498,0.965826
1498,1407,0.965826
5662,5663,0.963117
5663,5662,0.963117
1467,1479,0.962990
1479,1467,0.962990
7274,7278,0.962909
7278,7274,0.962909
7280,7272,0.960815
7272,7280,0.960815
3003,3198,0.960409
3198,3003,0.960409
5336,5335,0.960083
5335,5336,0.960083
6855,6845,0.959600
6845,6855,0.959600
156,185,0.959577
185,156,0.959577
623,622,0.958350
622,623,0.958350
6870,6867,0.957556
6867,6870,0.957556
4727,4648,0.956993
4648,4727,0.956993
2656,2655,0.956966
2655,2656,0.956966
3409,3411,0.956802
3411,3409,0.956802
7270,7269,0.956752
7269,7270,0.956752
3627,3625,0.956224
3625,3627,0.956224
1407,1434,0.956110
1434,1407,0.956110
6844,6856,0.956024
6856,6844,0.956024
2200,2343,0.955029
2343,2200,0.955029
3627,3622,0.954658
3622,3627,0.954658
5916,5915,0.954629
5915,5916,0.954629
6872,6866,0.954575
6866,6872,0.954575
1183,1181,0.953630
1181,1183,0.953630
877,867,0.953347
867,877,0.953347
5683,5682,0.952895
5682,5683,0.952895
125,178,0.952374
178,125,0.952374
6331,6330,0.951966
6330,6331,0.951966
6223,6269,0.950852
6269,6223,0.950852
153,125,0.950540
125,153,0.950540
3619,3611,0.950377
3611,3619,0.950377
5933,5944,0.950226
5944,5933,0.950226
4800,4801,0.950196
4801,4800,0.950196
3625,3622,0.950001
3622,3625,0.950001
7282,7279,0.948916
7279,7282,0.948916
1685,1686,0.947985
1686,1685,0.947985
2332,2217,0.947686
2217,2332,0.947686
6812,6813,0.946423
6813,6812,0.946423
4953,4954,0.946345
4954,4953,0.946345
4466,4467,0.945775
4467,4466,0.945775
142,80,0.945110
80,142,0.945110
3043,3054,0.944197
3054,3043,0.944197
3922,3933,0.944168
3933,3922,0.944168
5869,5868,0.944105
5868,5869,0.944105
3897,3933,0.943017
3933,3897,0.943017
1889,1890,0.942968
1890,1889,0.942968
4676,4780,0.942625
4780,4676,0.942625
24,75,0.942617
75,24,0.942617
2791,2793,0.941758
2793,2791,0.941758
3628,3625,0.941641
3002,3001,0.941572
3001,3002,0.941572
6867,6863,0.940965
6863,6867,0.940965
2873,2872,0.940824
2872,2873,0.940824
5813,5982,0.940682
5982,5813,0.940682
3960,3959,0.940574
3959,3960,0.940574
3849,3850,0.940297
3850,3849,0.940297
7068,7083,0.939818
